,AudioKit,Hystrix,Leaflet,OptiKey,PhysicsJS,animate.css,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,fsharp,gimp,hospitalrun-frontend,iina,jenkins,osquery,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
ApproximationTreeMap,0.9680573728900388,0.9795170253579912,0.9034711357900631,0.9652802617105402,0.8841711027973759,0.9818822420512472,0.9837296814977255,0.9693746098361041,0.9842573366336645,0.9765894787468351,0.9558793679031591,0.955722383326427,0.9657652967210293,0.9826987627560351,0.956900090185424,0.9666864231092647,0.9640487378059189,0.9127722279472313,0.9585445109348656,0.9778016976850914,0.9538463207820508,0.98335614431562,0.9502296280000858,0.9860092898536025,0.9556174905766747,0.9477819982820783,0.9664035290257851,0.9856028821308369
HilbertTreeMap,0.9664167584691935,0.9795355967232926,0.9199340128161222,0.9374752423625284,0.8775156883380969,0.9709097515969639,0.9889537272994006,0.9655068433393763,0.9912531354834643,0.9852885565504549,0.9497982500785161,0.9638890230274034,0.9552106978524537,0.9772865364349391,0.975553115595306,0.9342880461679617,0.9783551575628544,0.9001922854380938,0.9629382061172019,0.9789885687962564,0.9592404417853191,0.9820234605246148,0.9677754795378478,0.969264097698791,0.9293823236653076,0.9553668925844779,0.9503388701111929,0.9798045092308219
MooreTreeMap,0.9698286869360385,0.9820121407102912,0.9262481593570191,0.9584466391504873,0.9284253705508312,0.9826512611655019,0.9894413994434065,0.9814401209709175,0.9909895546751449,0.9833159950137713,0.9647615852642579,0.9708175363297693,0.9583816839355034,0.9810027046214939,0.9744534332718138,0.939315668717765,0.9810022974253786,0.9065552503755491,0.9746491974241307,0.9834376843971714,0.9513793187766824,0.9858805562727392,0.9701997996893106,0.9655061657474502,0.9305537641710044,0.9608683804120046,0.9749301908535905,0.9845271558018391
nmac,0.9705874324150859,0.9865369099975374,0.9431894176381421,0.9819748794430917,0.9498490661407271,0.9922448198658894,0.9935232855974169,0.9848952170815357,0.9853216693201158,0.9893232976826496,0.9771041401209061,0.9847187874285036,0.9805724205470291,0.9910563665191955,0.9784290460849286,0.9594238404267468,0.9831551036599012,0.9383631190239687,0.9826204591351517,0.985541967752462,0.9794001518828803,0.9858431997353945,0.9761839438201101,0.9934634492391904,0.9203750819649105,0.9603163190477518,0.9811790923359203,0.991999489791367
nmew,0.9728991732229535,0.9821965915170915,0.9200147869012891,0.9706795838949048,0.9257546367858612,0.9891568266434745,0.9792553211359522,0.9857014827083553,0.9834507736994589,0.9890455259419586,0.9585285222932186,0.9772730564215655,0.9800887626908169,0.9826562340999065,0.9682950650241545,0.9336938384715856,0.9713932719828793,0.9292552675344059,0.9826977647546169,0.9891572700818462,0.9525076702178081,0.9890145901236816,0.9663854219955734,0.9907634150489052,0.9289744304933376,0.9454289834531887,0.9627436568521567,0.9867907044605212
PivotByMiddle,0.8985112126672229,0.971486992933098,0.8788834028391089,0.9566681139018643,0.8940284935274226,0.9828421047844315,0.9797552420680083,0.9493064249681782,0.9540630998540166,0.958839163622045,0.9438559583946727,0.9447486060032085,0.9640380610561354,0.9700539334640889,0.9402361643176141,0.9055304954599149,0.9431043147864424,0.8693938537732487,0.933186040624981,0.965414432884183,0.9396587967935307,0.9362581354936472,0.9309140082801186,0.9498345906302286,0.9502949681305295,0.925406491019336,0.9460552458905608,0.9833423841808521
PivotBySize,0.9301842061056906,0.9737610929027136,0.8957394261760875,0.9303258112706084,0.8954609288035311,0.9749123742381477,0.9837665040885376,0.95883413473754,0.9649663357321682,0.9572109240803416,0.945940151631536,0.9546505567141991,0.9673731952728721,0.9809577661926413,0.9454459175655474,0.9503227771546076,0.9547113788135984,0.9141403055371271,0.9568145488533739,0.9744109409092472,0.9430402085801383,0.9630816731139371,0.9384825488965127,0.9796683479836527,0.9304353297260833,0.9416894003270425,0.9488878666246343,0.9866782646739802
PivotBySplit,0.9642633681742062,0.9780744165459773,0.8985597760148488,0.9608399081224117,0.8997999879708919,0.978343298381717,0.9872880906523177,0.9666324479675239,0.9838990488379733,0.971002380909872,0.9571262202309677,0.9569654717353849,0.950097630372074,0.9713110178604205,0.9470105443345799,0.9518299917742864,0.9497908987126541,0.9147568276916037,0.9561436287353005,0.980776519494617,0.9498998958120612,0.9795582332193228,0.9496060827632119,0.9805294164831962,0.9584073599839453,0.9402763720710048,0.9608008121447554,0.9788192687621833
SliceAndDice,0.9867652421860015,0.9931303905593577,0.9739582032659128,0.9870637194044063,0.9692934499414146,0.9944245905629332,0.9951243961634063,0.9956981051360951,0.9953227513325877,0.9962199688885467,0.9861326802229677,0.9926783861904026,0.985569466371859,0.9911298401753414,0.9916350807110104,0.9744398149079659,0.9948637745980191,0.9646082580846577,0.9954000043897686,0.9958248857537938,0.9876616438218164,0.997306163678283,0.9916598806547569,0.9979953943953682,0.9623067266182704,0.9822738638093054,0.9857452132708316,0.9964985814217686
SpiralTreeMap,0.9707827620849752,0.9773014995802642,0.8970344889381716,0.9153870159717649,0.9168362854037043,0.9780849280108256,0.9772396800038586,0.9597620598648251,0.9877674507550654,0.9750862265681325,0.9525019957821462,0.9304065237261689,0.9569400692593272,0.9755684567142044,0.9470686657982021,0.9429355589083871,0.9476407001732495,0.8878654193478395,0.9719284351342418,0.9663755166712706,0.9531078036784019,0.9877167220714926,0.9597409719972759,0.9759992190430322,0.9482341779764855,0.9468241177581973,0.9553616062723451,0.9797370190824284
SquarifiedTreeMap,0.9450183267671725,0.9742779664350062,0.8849864577377886,0.959229874106642,0.8781244252715532,0.9656247709172282,0.959045340387822,0.9535210967724518,0.9809776728612783,0.964626404714028,0.8780591758110434,0.94498882905787,0.9458994398082691,0.971292600800308,0.945743498054056,0.9549386143818632,0.9446208493358563,0.8675766739251497,0.9400732930713711,0.9535086081200518,0.9446838275037068,0.9739328735469259,0.9425933882825316,0.9783985613021872,0.9471373107788834,0.9215998078322861,0.9525425038289783,0.9769006237387184
StripTreeMap,0.9515025154809725,0.9771528312215548,0.9023067075777019,0.954646622903023,0.8840069480674007,0.9669796575639562,0.9632626210428565,0.9562957869930576,0.986186642804904,0.9719749629107536,0.9469165119142837,0.9569338490897357,0.9642836266642124,0.972995664170664,0.9585007964079041,0.9459598418823301,0.9520129749123541,0.8873017887534705,0.9404219351125943,0.963777365678311,0.9616927035480715,0.9806924358164797,0.95448481621187,0.9787851847267743,0.9473844824030714,0.9341323957535452,0.9541945034748454,0.9791810360641039
